Sentence;P;P_DESC;A0;A0-DESC;A1;A1_DESC;A2;A2_DESC
The system places a story in the editor’s "to-do" workflow.;places;location;The system;putter;a story;thing put;in the editor’s;where put
The editor views the story.;views;assign an attribute to;The editor;assigner;the story;thing labelled;;
The editor categorizes the story and marks it approved.;categorizes;assign into a category;The editor;assigner;the story;thing assigned;;
The editor categorizes the story and marks it approved.;marks;;The editor;;it approved;;;
The editor categorizes the story and marks it approved.;approved;assent to;it;approver;;;;
The system includes the story and triggers initiation of paging messages.;includes;include;;;the story;theme, thing being included in some group;The system;group
The system includes the story and triggers initiation of paging messages.;triggers;begin;The system;Agent;initiation of paging messages;Theme(-Creation);;
The editor views the story.;views;assign an attribute to;The editor;assigner;the story;thing labelled;;
The editor marks the story as rejected.;marks;;The editor;;the story;;;
The editor marks the story as rejected.;rejected;reject, decline, turn down;;;;;;
The system notifies the originator of the content that the story has been rejected.;notifies;tell, alert;The system;notifier, teller;the originator of the content that the story has been rejected;entity notified, told;;
The system notifies the originator of the content that the story has been rejected.;rejected;reject, decline, turn down;;;the story;thing rejected;;
Editor selects "Modify Story".;selects;to make a choice, to pick out;Editor;selector;"Modify Story";entity selected;;
Editor selects specific title.;selects;to make a choice, to pick out;Editor;selector;specific title;entity selected;;
Editor selects "Save".;selects;to make a choice, to pick out;Editor;selector;"Save".;entity selected;;
System re-posts story, triggering paging activity as needed.;re-posts;;System;;story;;;
System re-posts story, triggering paging activity as needed.;triggering;begin;;;paging activity as needed;Theme(-Creation);;
System re-posts story, triggering paging activity as needed.;needed;need;;;paging activity;thing needed;;
The editor views the advertising content.;views;assign an attribute to;The editor;assigner;the advertising content;thing labelled;;
The editor marks it approved.;marks;;The editor;;it approved.;;;
The editor marks it approved.;approved;assent to;it;approver;;;;
The system includes the advertising content for display.;includes;include;;;the advertising content for display;theme, thing being included in some group;The system;group
The system marks the preliminary billing record as approved.;marks;signify;The system;signifier;the preliminary billing record as approved;signified;;
The system marks the preliminary billing record as approved.;approved;assent to;;;;;;
The editor views the advertising content.;views;assign an attribute to;The editor;assigner;the advertising content;thing labelled;;
The editor marks it rejected and provides a reason for rejection.;marks;;The editor;;it rejected and provides a reason for rejection;;;
The editor marks it rejected and provides a reason for rejection.;rejected;reject, decline, turn down;it;rejecter;a reason for rejection;thing rejected;;
The editor marks it rejected and provides a reason for rejection.;provides;cf give;;;;;;
The system notifies the advertiser (via email) of the rejection and the reason.;notifies;tell, alert;The system;notifier, teller;the advertiser (via email) of the rejection and the reason;entity notified, told;;
If the story has been deleted by another editor and is not currently viewable, the use case terminates.;deleted;remove;by another editor;entity removing;the story;thing being removed;;
If the story has been deleted by another editor and is not currently viewable, the use case terminates.;terminates;end, stop;;;the use case;Thing ending;;
Editor must be logged in.;logged;to record or to navigate somewhere online;;;Editor;thing recorded, internet/software;;
User selects "Edit Profile".;selects;to make a choice, to pick out;User;selector;"Edit Profile";entity selected;;
System displays categories of profile (personal, preferences, pager information, "page me when" selections.;"page;;(personal;;when" selections;;;
User selects category.;selects;to make a choice, to pick out;User;selector;category;entity selected;;
User updates detail, presses "OK".;";;presses;;User updates detail;;;
System validates data as required, updates subscriber profile.;validates;to declare or make legally valid;System;causer;data;entity validated;as required, updates subscriber profile;
System validates data as required, updates subscriber profile.;required;need;;;, updates subscriber profile;thing required;;
If this is a new subscriber, the use case "Pay Fee with Credit Card" is invoked following step 5 above.;Pay;cf buy and sell;the use case;payer or buyer;";money or attention;;
If this is a new subscriber, the use case "Pay Fee with Credit Card" is invoked following step 5 above.;invoked;;;;the use case "Pay Fee with Credit Card";;;
This needs to be secured as credit card information may be in the profile.;needs;need;This;needer;to be secured as credit card information may be in the profile.;thing needed;;
This needs to be secured as credit card information may be in the profile.;secured;get;;;This;thing acquired;as credit card information may be in the profile.;source, gained from
Subscriber selects "pay fee with credit card".;selects;to make a choice, to pick out;Subscriber;selector;"pay fee;entity selected;;
System prompts subscriber for credit card number, expiration date, and (optionally) PIN.;prompts;cause an event;System;causer, prompter;subscriber for credit card number, expiration date, and (optionally) PIN.;event;;
System sends credit card info to external system for charge validation and application.;sends;give;System;sender;credit card info;sent;to external system for charge validation and application;sent-to
Upon receipt of validation, system updates subscriber record to indicate new expiration date.;indicate;show;;;new expiration date;thing indicated;;
Subscriber selects "pay fee with credit card".;selects;to make a choice, to pick out;Subscriber;selector;"pay fee;entity selected;;
User either accepts information as is or updates appropriately.;accepts;take willingly;User;acceptor;information as is or updates;thing accepted;;
System sends credit card info to external system for charge validation and application.;sends;give;System;sender;credit card info;sent;to external system for charge validation and application;sent-to
Upon receipt of validation, system updates subscriber record to indicate new expiration date.;indicate;show;;;new expiration date;thing indicated;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;provided;cf give;by the subscriber;provider;the information;thing provided;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;validated;to declare or make legally valid;by the external system;causer;the information provided by the subscriber;entity validated;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;displayed;to present, exhibit;;;an error message;entity displayed;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;updated;make more modern;;;(;thing becoming more modern;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;executed;enact;;;the last steps in the above flows;thing done;;
Interface specifications for external credit card system need to be verified.;need;need;Interface specifications for external credit card system;needer;to be verified;thing needed;;
Interface specifications for external credit card system need to be verified.;verified;determine truth of a proposition;;;Interface specifications for external credit card system;verified;;
Advertiser selects "Print Reports".;selects;to make a choice, to pick out;Advertiser;selector;"Print Reports".;entity selected;;
System displays all advertising content provided by advertiser.;provided;cf give;by advertiser;provider;all advertising content;thing provided;;
Advertiser selects one or more pieces of content on which to report.;selects;to make a choice, to pick out;Advertiser;selector;one or more pieces of content on which to report;entity selected;;
Advertiser selects one or more pieces of content on which to report.;report;report, tell;;;one or more pieces of content;thing reported;;
Advertiser selects one or more reports to generate.;selects;to make a choice, to pick out;Advertiser;selector;one or more reports to generate;entity selected;;
Advertiser selects one or more reports to generate.;generate;create;;;;;;
Advertiser selects format (Word, Excel, or to browser window).;selects;to make a choice, to pick out;Advertiser;selector;format (Word, Excel, or to browser window).;entity selected;;
Advertiser selects format (Word, Excel, or to browser window).;browser;;;;window);;;
System creates first report and prompts user to save or view.;creates;create;System;creator;first report;thing created;;
